Kabir;0;9;7;7;8;15;8;12;9;9;13;11;22.2443731332;
Kurt;7;0;0;0;0;0;0;0;0;0;0;0;0;
Ali;12;15;11;15;11;18;9;14;9;14;14;11;16.7297389996;
Lynden;0;0;5;0;0;0;0;11;9;8;6;9;10.6303828762;
Noah;144;141;145;147;179;181;231;189;205;190;175;193;225.935185022;
Cory;7;8;5;7;6;5;7;5;0;0;0;8;0;
Dion;0;0;0;0;0;0;10;0;0;0;0;0;0;
Brendan;68;60;55;64;43;40;53;32;28;23;20;9;0;
Navraj;8;0;0;8;0;0;5;0;7;0;6;0;0;
Veer;0;0;0;0;6;0;0;0;0;0;6;6;10.6611846184;
Slade;0;0;0;0;0;0;0;6;6;0;0;0;0;
Abel;0;0;0;0;0;0;0;0;0;0;5;12;12.8972830307;
Jermaine;0;6;0;0;0;0;0;0;0;0;0;0;0;
Dimitri;0;6;0;6;0;0;0;0;0;6;0;0;0.40294502928;
Jaxxon;0;0;0;0;0;0;0;0;0;0;8;6;11.5660940209;
Joban;0;5;7;5;0;8;0;5;5;0;8;0;3.1932799602;
Rajveer;5;0;0;0;5;0;0;0;0;0;0;0;0;
Jaskirat;10;6;0;5;7;6;0;0;0;0;0;0;0;
Sonny;0;0;0;0;0;0;0;5;0;0;0;0;0;
Ryden;0;0;0;0;0;0;0;0;0;0;6;0;6.08117224113;
Wilson;7;9;7;11;9;5;10;5;8;6;7;9;9.99942430885;
Harshdeep;0;5;0;5;0;0;0;0;0;0;0;0;0;
Ronin;0;0;0;13;5;5;11;13;16;11;15;11;28.4183539947;
Draven;0;0;0;0;0;0;0;0;6;0;0;0;0;
Manroop;0;0;0;0;0;0;0;0;0;5;0;0;2.48686881901;
Flynn;0;0;0;0;0;5;0;0;0;0;6;6;9.47518572939;
Matias;7;6;7;5;6;6;11;7;15;15;10;5;10.9652773873;
Ronik;0;0;0;0;0;0;0;0;0;0;0;6;4.37358641506;
Arlen;0;0;0;0;0;0;0;0;0;0;6;6;9.61267893513;
Clyde;0;0;0;0;0;0;5;0;0;0;0;0;0;
Trent;14;19;15;12;10;6;7;9;7;7;7;6;0;
Chace;0;0;0;0;0;0;0;0;12;10;0;0;5.33954705808;
Malik;5;0;0;0;8;0;0;0;6;0;8;6;12.5383586537;
Toby;5;0;0;0;0;0;7;0;7;6;8;7;10.0975378058;
Kavan;0;0;0;0;0;0;0;0;0;0;0;5;3.6446554132;
Clayton;27;17;16;15;15;8;9;13;12;5;10;11;0;
Ryder;10;9;11;41;58;60;93;87;108;102;128;124;270.853916948;
Tobias;0;8;8;6;0;9;9;12;14;9;6;15;8.90626411423;
Devon;47;41;38;38;28;25;25;16;28;19;22;11;0;
Teo;0;0;0;0;0;0;0;5;0;0;0;8;4.15224688953;
Brent;9;0;0;6;0;0;7;0;5;6;0;0;0;
Fisher;0;0;0;0;0;0;6;0;8;0;5;5;5.36204137834;
Jason;93;76;76;65;67;71;59;56;60;56;44;47;0;
Ricardo;0;0;5;0;0;0;0;0;0;0;0;0;0;
John;104;77;63;75;70;73;72;70;60;69;76;55;40.4197505999;
Axel;0;0;0;0;5;6;0;10;6;8;13;8;26.3229025021;
Parteek;0;0;0;0;0;0;0;0;0;0;5;0;5.0676435351;
Dominic;24;38;42;48;44;56;65;59;72;68;64;74;116.241187907;
Sidney;0;0;0;0;0;0;0;0;6;6;8;0;9.23940704973;
